"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"1","SUGAR","405.83","99.9","0","0"
"2","FRUCTOSE","405.59","99.8","0","0"
"3","SYRUP","301.39","74.1","0.1","0"
"4","HONEY","330.31","80.8","0.5","0"
"5","SWEET, CANDY","355.64","87","0.5","0"
"6","CHOCOLATE, AVERAGE","542.54","47.8","9.6","34.4"
"7","CHOCOLATE CONFECTION FILLED WITH MARMALADE","324.81","53.3","3.3","11.4"
"8","LIQUORICE, LICORICE","328.87","75.9","3.5","0.4"
"9","JELLY CANDY, FRUIT JELLY","309.51","75","0.1","0.1"
"10","MARZIPAN, ALMOND PASTE","485.9","47.6","12.6","26.9"
"11","TOFFEE","456.02","64.7","1.8","21"
"12","SALTY LIQOURICE PASTILLE","296.37","63","0.1","0.2"
"14","CHOCOLATE BAR, AVERAGE","510.52","56","7.1","28"
"20","COCOA POWDER, UNSWEETENED","369.98","11","18.5","21.7"
"21","COCOA POWDER WITH SUGAR","399.62","77.4","6.4","6.5"
"24","SORBITOL","239.01","0","0","0"
"25","GELATIN","392.45","0","96.4","0.1"
"26","BAKING YEAST, FRESH","74.57","1.1","13.1","0.4"
"27","FLOUR, CORNSTARCH, CORNFLOUR","356.12","86","0.4","0.6"
"28","MUSTARD","131.45","14.1","4.4","6"
"29","MEAT BOUILLON","18.88","3","0.3","0.6"
"30","SALT, IODISED","2.63","0","0.6","0"
"31","SOY SAUCE","60.23","9.5","5.2","0.1"
"32","CHOCOLATE, PLAIN, DARK CHOCOLATE","520.55","53.3","4.9","31"
"33","CHOCOLATE, MILK CHOCOLATE","538.48","49.8","10.1","33"
"34","HALVA MADE WITH SESAME SEEDS AND SUGAR","407.03","30.6","16.5","22.5"
"35","SWEET, CANDY, SUGAR-FREE","194.07","0","0","0"
"36","SALT, LOW SODIUM","1.2","0","0.3","0"
"37","CHOCOLATE, ARTIFICIALLY SWEETENED","466.54","1.7","2.3","36.7"
"38","MEAT BOUILLON POWDER/CUBE","298.52","16.5","11","21"
"39","SWEETENER, ASPARTAM, POWDER","406.31","97","3","0"
"40","CEREAL BAR WITH FIBRE","421.37","54.6","7","18"
"43","RYE MALT","406.79","77","11.7","2.2"
"44","CHOCOLATE BAR WITH FILLING, AVERAGE","509.08","60","8","26"
"62","PASTILLE SWEETENED WITH XYLITOL","239.01","0","0.5","0.8"
"63","CHOCOLATE BAR, LOW-FAT","423.04","55.1","5.5","13"
"65","CHEWING GUM, XYLITOL SWEETENED","184.75","0","0","0"
"66","CHEWING GUM","381.21","92.7","0","0"
"68","BARLEY STARCH","336.76","81.6","0.1","0.3"
"69","FRUIT PASTILLE WITH GUM ARABIC","259.56","60.6","0","0.2"
"70","SWEETENER, SACCHARIN","0","0","0","0"
"73","RAISIN OR DRIED FRUIT COATED WITH YOGHURT","397.23","48","8.4","17"
"74","BAKING POWDER","175.67","37.8","5.2","0"
"75","FISH STOCK BROTH","9.08","0","1.8","0.2"
"79","SALT, ROCK SALT, WITHOUT IODINE","0","0","0","0"
"100","FLOUR, RYE, WHOLEGRAIN RYE FLOUR","323.85","59.4","9.6","1.9"
"103","RYE FLAKES","294.46","52","9.6","2"
"110","FLOUR, WHEAT FLOUR, SEMI-COARSE","368.31","74","11.6","1.6"
"111","FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR","343.93","61.7","12.9","2.5"
"112","SEMOLINA","321.46","63.6","11.5","1.1"
"113","SEMOLINA, WHOLE WHEAT","308.32","59.4","11.5","1.1"
"114","WHEAT FLAKES","335.09","58.7","12.9","2.2"
"115","WHEAT GERM","360.42","31","29.4","10"
"116","WHEAT BRAN","241.4","16.9","14.8","4.6"
"117","MACARONI, PASTA","338.67","66.4","13","1.1"
"119","MACARONI, WHOLE WHEAT","355.16","65.7","13.5","2.5"
"120","NOODLE, WHEAT","350.62","66.4","11.2","3.3"
"121","PASTA, SPAGHETTI, MACARONI","337.24","66.4","12","1.4"
"123","MACARONI, DARK, BOILED WITHOUT SALT","106.6","19.7","4.1","0.8"
"124","FLOUR, DARK WHEAT FLOUR","363.29","68.6","13.1","2.4"
"125","FLOUR MIXTURE, FOR BREAD ROLLS, WHEAT FLOUR, WHEAT GROATS, RYE","313.81","59.4","11.2","1.9"
"126","FLOUR, BREADCRUMBS","366.4","73.6","11.5","1.6"
"133","WAFER, ICE CREAM CONE","427.1","78.8","8.2","7.4"
"142","FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH","350.62","70","11.5","1.4"
"150","FLOUR, BARLEY FLOUR","327.44","64.4","8.3","2"
"151","BARLEY, PEARL","322.42","63.2","8.3","2"
"152","BARLEY, ROLLED, BARLEY FLAKES","330.54","64.5","8.3","2"
"153","OATS, ROLLED, OAT FLAKES","382.17","60","13.6","7.2"
"154","FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA","324.57","57.7","8.3","4.3"
"156","RICE, WHITE","342.5","75.6","6.1","0.7"
"158","RICE, WHOLEGRAIN","362.09","71.4","7.9","2.9"
"160","FLOUR, MILLET, WHOLE OR CRUSHED GRAINS","357.07","68.8","11.3","2.9"
"161","FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS","327.2","60.5","13","2"
"162","FLOUR, POTATO STARCH, POTATO FLOUR","334.85","81.6","0.1","0.1"
"163","BREAKFAST CEREAL, CORN FLAKES","377.15","82.1","7.7","0.8"
"167","MAIZE, KERNEL, DRIED, UNPOPPED","354.45","55.4","12.7","6.8"
"168","MALT FOR BEER","319.79","56.8","11.7","1.6"
"170","OAT BRAN","376.43","52.2","16.2","7.4"
"172","SPAGHETTI SPINACH, CONTAINS EGG","357.31","67.1","13.5","2.7"
"173","OAT MACARONI, CONTAINS WHEAT AND OATS","361.14","65.1","13","3.7"
"175","WHEAT GRAIN, CRUSHED","308.08","52.9","12.9","2.5"
"176","RYE GRAIN, CRUSHED","328.15","57.1","9.6","2.5"
"177","RICE, NATURAL RICE, MIXED RICE AND WILD RICE, BOILED WITHOUT SALT","134.08","21.3","2.4","0.9"
"182","FLOUR, RICE FLOUR, RICE FLAKE","367.83","79.3","7.7","1.4"
"183","FLOUR, RICE FLOUR, WHOLE GRAIN","362.09","71.4","7.9","2.9"
"184","TORTILLA CHIPS, TACO SHELL","477.53","60","7.6","22.6"
"185","FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH","361.14","80.2","5.5","1.2"
"186","PASTA, SPAGHETTI, SPINACH, BOILED WITHOUT SALT","107.31","20.1","4.1","0.8"
"187","MACARONI, BOILED, OIL","104.45","19.6","3.8","0.8"
"188","PASTA, SPAGHETTI, BOILED, OIL, WITHOUT SALT","103.97","19.6","3.5","0.9"
"189","FLOUR MIXTURE, RYE, WHEAT","323.61","66.7","10.6","1.7"
"190","OAT MACARONI, BOILED, NO ADDED SALT","108.27","19.5","3.9","1.1"
"191","OAT MACARONI, BOILED, ADDED OIL","110.9","19.2","3.8","1.6"
"202","POTATO, DRIED","367.83","75","8.6","0.6"
"203","POTATO CRISPS, POTATO CHIPS, POTATO SNACK","521.27","47.6","5.3","33"
"204","POTATO, NEW","74.57","15.5","1.7","0.1"
"205","POTATO, PEELED","75.29","15.5","1.9","0.1"
"206","MASHED POTATO POWDER","379.78","73.5","5.7","4.3"
"207","FRENCH FRIES, FROZEN","247.13","42","4.3","6.3"
"209","POTATOFLAKE","341.06","73.2","6.4","0.6"
"300","CARROT","32.74","5.6","0.6","0.2"
"302","CARROT, DRIED","268.64","45.8","5.2","1.6"
"303","SWEDE, RUTABAGA","34.89","5.9","1.1","0.1"
